AvgDistance,LowestDistanceThisGen,LowestDistance
5038.25,3656.06,3656.06
4664.99,3208.89,3208.89
4312.01,3209.59,3208.89
4327.47,3209.41,3208.89
4243.84,2819.8,2819.8
4057.45,2628.12,2628.12
4098.28,2628.12,2628.12
3962.06,2597.59,2597.59
3850.05,2546.61,2546.61
3814.91,2546.61,2546.61
3608.1,2535.89,2535.89
3723.32,2328.21,2328.21
3835.2,2328.21,2328.21
3910.3,2269.42,2269.42
3961.99,2299.96,2269.42
3947.83,2436.44,2269.42
3858.82,2358.75,2269.42
3748.48,2299.96,2269.42
3746.49,2299.96,2269.42
3840.65,2299.96,2269.42
3734.36,2328.21,2269.42
3814.02,2358.75,2269.42
3850.21,2299.96,2269.42
3716.98,2299.96,2269.42
3891.24,2299.96,2269.42
3635.5,2299.96,2269.42
3598.78,2299.96,2269.42
3923.74,2358.75,2269.42
3826.22,2358.75,2269.42
3906.03,2358.75,2269.42
3909.78,2358.75,2269.42
3762.72,2358.75,2269.42
3854.38,2299.96,2269.42
3941.72,2358.75,2269.42
4025.02,2358.75,2269.42
3940.23,2689.13,2269.42
3937.61,2358.75,2269.42
3936.72,2358.75,2269.42
3955.25,2328.21,2269.42
3887.45,2328.21,2269.42
3793.76,2269.42,2269.42
3849.46,2452.39,2269.42
3800.46,2548.01,2269.42
3986.51,2358.75,2269.42
3908.42,2358.75,2269.42
3879.64,2452.39,2269.42
3805.46,2452.39,2269.42
3861.56,2406.82,2269.42
3893.09,2482.92,2269.42
3865.65,2358.75,2269.42
3779.61,2358.75,2269.42
3699.47,2269.42,2269.42
3727.11,2358.75,2269.42
3819.51,2358.75,2269.42
3899.73,2732.25,2269.42
3953.36,2618.85,2269.42
3965.11,2591.77,2269.42
3825.8,2358.75,2269.42
3853.28,2358.75,2269.42
3880.21,2562.2,2269.42
3904.54,2406.82,2269.42
3913.95,2535.89,2269.42
3851.25,2535.89,2269.42
3913.51,2576.23,2269.42
4065.12,2576.23,2269.42
3878.48,2436.44,2269.42
3874.04,2548.01,2269.42
3966.57,2452.39,2269.42
3879.93,2482.92,2269.42
3831.59,2452.39,2269.42
3796.99,2328.21,2269.42
3804.2,2269.42,2269.42
3873.65,2299.96,2269.42
3766.62,2358.75,2269.42
3879.41,2525.76,2269.42
3827.64,2269.42,2269.42
3821.05,2269.42,2269.42
3764.72,2299.96,2269.42
3772.78,2269.42,2269.42
3761.77,2269.42,2269.42
3671.81,2299.96,2269.42
3724.84,2299.96,2269.42
3779.29,2299.96,2269.42
3842.45,2269.42,2269.42
3638.83,2269.42,2269.42
3773.48,2269.42,2269.42
3770.14,2269.42,2269.42
3777.18,2269.42,2269.42
3730.73,2328.21,2269.42
3632.11,2269.42,2269.42
3717.19,2269.42,2269.42
3901.34,2269.42,2269.42
3780.26,2269.42,2269.42
3781.51,2269.42,2269.42
3837.23,2269.42,2269.42
3817.03,2299.96,2269.42
3810.28,2358.75,2269.42
3865.34,2358.75,2269.42
3761.55,2299.96,2269.42
3735.7,2328.21,2269.42
3858.79,2328.21,2269.42
3839.46,2328.21,2269.42
3790.66,2328.21,2269.42
3938.54,2358.75,2269.42
3851.09,2452.39,2269.42
3854.75,2328.21,2269.42
3809.76,2328.21,2269.42
3867.67,2328.21,2269.42
3784.19,2495.23,2269.42
3850.87,2328.21,2269.42
3810.02,2406.82,2269.42
3821.38,2406.82,2269.42
3897.2,2406.82,2269.42
3821.32,2406.82,2269.42
